User to user based recommender experimentation using rating.csv dataset file
----------------------------------------------------------------------------
Start the prediction of user-to-user based recommender ...
 Similarity with user-to-user recommender for user: 451 is 0.8722825109973308
 Similarity with user-to-user recommender for user: 452 is 0.6879575652725565
 Similarity with user-to-user recommender for user: 453 is 0.9206322813532746
 Similarity with user-to-user recommender for user: 454 is 0.8151461301632197
 Similarity with user-to-user recommender for user: 455 is 0.7778545587765122
 Similarity with user-to-user recommender for user: 456 is 0.6469932279647611
 Similarity with user-to-user recommender for user: 457 is 0.8731475130021212
 Similarity with user-to-user recommender for user: 458 is 0.5805039054143171
 Similarity with user-to-user recommender for user: 459 is 0.41578375275060486
 Similarity with user-to-user recommender for user: 460 is 0.7399797915578933
 Similarity with user-to-user recommender for user: 461 is 0.8122494399295781
 Similarity with user-to-user recommender for user: 462 is 0.6953492882852511
 Similarity with user-to-user recommender for user: 463 is 0.41000808785989346
 Similarity with user-to-user recommender for user: 464 is 0.7950729898724953
 Similarity with user-to-user recommender for user: 465 is 0.7854149565152304
 Similarity with user-to-user recommender for user: 466 is 0.6767521663577658
 Similarity with user-to-user recommender for user: 467 is 0.6898347354436488
 Similarity with user-to-user recommender for user: 468 is 0.8531854951713649
 Similarity with user-to-user recommender for user: 469 is 0.887294583474112
 Similarity with user-to-user recommender for user: 470 is 0.8496569733199768
 Similarity with user-to-user recommender for user: 471 is 0.5014313839738004
 Similarity with user-to-user recommender for user: 472 is 0.6365128413029446
 Similarity with user-to-user recommender for user: 473 is 0.635451062875013
 Similarity with user-to-user recommender for user: 474 is 0.8569847048965059
 Similarity with user-to-user recommender for user: 475 is 0.5667765608407483
 Similarity with user-to-user recommender for user: 476 is 0.6898856442245896
 Similarity with user-to-user recommender for user: 477 is 0.6527228752491254
 Similarity with user-to-user recommender for user: 478 is 0.7052716872501574
 Similarity with user-to-user recommender for user: 479 is 0.9462983668950055
 Similarity with user-to-user recommender for user: 480 is 0.8041425537624202
 Similarity with user-to-user recommender for user: 481 is 0.620113233959806
 Similarity with user-to-user recommender for user: 482 is 0.8301818655356022
 Similarity with user-to-user recommender for user: 483 is 0.752281404586958
 Similarity with user-to-user recommender for user: 484 is 0.6471669233359623
 Similarity with user-to-user recommender for user: 485 is 0.6403463656329188
 Similarity with user-to-user recommender for user: 486 is 0.8258409162908497
 Similarity with user-to-user recommender for user: 487 is 0.8550578332531819
 Similarity with user-to-user recommender for user: 488 is 0.662860050612362
 Similarity with user-to-user recommender for user: 489 is 0.8162597153520245
 Similarity with user-to-user recommender for user: 490 is 0.5579177702302078
 Similarity with user-to-user recommender for user: 491 is 0.5268620947588025
 Similarity with user-to-user recommender for user: 492 is 0.8742993700992533
 Similarity with user-to-user recommender for user: 493 is 0.8041171065105268
 Similarity with user-to-user recommender for user: 494 is 0.556766552568301
 Similarity with user-to-user recommender for user: 495 is 0.8623542159821125
 Similarity with user-to-user recommender for user: 496 is 0
 Similarity with user-to-user recommender for user: 497 is 0.6576825481781301
 Similarity with user-to-user recommender for user: 498 is 0.8019342258438484
 Similarity with user-to-user recommender for user: 499 is 0.5236986558977851
 Similarity with user-to-user recommender for user: 500 is 0.5452887529867125
 Similarity with user-to-user recommender for user: 501 is 0.7527647482917458
 Similarity with user-to-user recommender for user: 502 is 0.8985394429521679
 Similarity with user-to-user recommender for user: 503 is 0.9177760032491387
 Similarity with user-to-user recommender for user: 504 is 0.7253246007888303
 Similarity with user-to-user recommender for user: 505 is 0.6430047313831145
 Similarity with user-to-user recommender for user: 506 is 0.5765833104056229
 Similarity with user-to-user recommender for user: 507 is 0.7813220308468574
 Similarity with user-to-user recommender for user: 508 is 0.3162377940059091
 Similarity with user-to-user recommender for user: 509 is 0.6652609483215531
 Similarity with user-to-user recommender for user: 510 is 0.8605908727545514
 Similarity with user-to-user recommender for user: 511 is 0.8036859070084466
 Similarity with user-to-user recommender for user: 512 is 0.8958136732770936
 Similarity with user-to-user recommender for user: 513 is 0.8215750682601236
 Similarity with user-to-user recommender for user: 514 is 0.6859627151152501
 Similarity with user-to-user recommender for user: 515 is 0.695581224779428
 Similarity with user-to-user recommender for user: 516 is 0.7447152046494785
 Similarity with user-to-user recommender for user: 517 is 0.6447148624431256
 Similarity with user-to-user recommender for user: 518 is 0.8143589193328588
 Similarity with user-to-user recommender for user: 519 is 0.8346858722501479
 Similarity with user-to-user recommender for user: 520 is 0.84916864542683
 Similarity with user-to-user recommender for user: 521 is 0.6359995606242522
 Similarity with user-to-user recommender for user: 522 is 0.8126104009015158
 Similarity with user-to-user recommender for user: 523 is 0.6504667389259479
 Similarity with user-to-user recommender for user: 524 is 0.8856588934858918
 Similarity with user-to-user recommender for user: 525 is 0.7280480149226499
 Similarity with user-to-user recommender for user: 526 is 0.8520828184617171
 Similarity with user-to-user recommender for user: 527 is 0.7642957189876981
 Similarity with user-to-user recommender for user: 528 is 0.855364204174313
 Similarity with user-to-user recommender for user: 529 is 0.48339530302651185
 Similarity with user-to-user recommender for user: 530 is 0.6598735284024468
 Similarity with user-to-user recommender for user: 531 is 0.645664624513208
 Similarity with user-to-user recommender for user: 532 is 0.8040435130941777
 Similarity with user-to-user recommender for user: 533 is 0.8053343849430052
 Similarity with user-to-user recommender for user: 534 is 0.6542835964534233
 Similarity with user-to-user recommender for user: 535 is 0.7419264483358705
 Similarity with user-to-user recommender for user: 536 is 0.7564699742108272
 Similarity with user-to-user recommender for user: 537 is 0.8796011745337551
 Similarity with user-to-user recommender for user: 538 is 0.5909142112611268
 Similarity with user-to-user recommender for user: 539 is 0.6346980481174083
 Similarity with user-to-user recommender for user: 540 is 0.7355300603491364
 Similarity with user-to-user recommender for user: 541 is 0.883455952918444
 Similarity with user-to-user recommender for user: 542 is 0.6292598340851001
 Similarity with user-to-user recommender for user: 543 is 0.7520184810574071
 Similarity with user-to-user recommender for user: 544 is 0.7935165262123325
 Similarity with user-to-user recommender for user: 545 is 0.8459887196217672
 Similarity with user-to-user recommender for user: 546 is 0.7596327894937265
 Similarity with user-to-user recommender for user: 547 is 0.6242818225397939
 Similarity with user-to-user recommender for user: 548 is 0.6570502629810844
 Similarity with user-to-user recommender for user: 549 is 0.7239701329362724
 Similarity with user-to-user recommender for user: 550 is 0.6021457570839577
 Similarity with user-to-user recommender for user: 551 is 0.7306765087314887
 Similarity with user-to-user recommender for user: 552 is 0.7902486313324755
 Similarity with user-to-user recommender for user: 553 is 0.7898595441905935
 Similarity with user-to-user recommender for user: 554 is 0.7185116412159228
 Similarity with user-to-user recommender for user: 555 is 0.8524727904984829
 Similarity with user-to-user recommender for user: 556 is 0.4795135535177259
 Similarity with user-to-user recommender for user: 557 is 0.7387386532810843
 Similarity with user-to-user recommender for user: 558 is 0.8674818691676142
 Similarity with user-to-user recommender for user: 559 is 0.6927821275879179
 Similarity with user-to-user recommender for user: 560 is 0.7419065359519726
 Similarity with user-to-user recommender for user: 561 is 0.6709579941669487
 Similarity with user-to-user recommender for user: 562 is 0.6977482186193603
 Similarity with user-to-user recommender for user: 563 is 0.6787013508179147
 Similarity with user-to-user recommender for user: 564 is 0.7928474620257916
 Similarity with user-to-user recommender for user: 565 is 0.4869236297256223
 Similarity with user-to-user recommender for user: 566 is 0.6445503061131383
 Similarity with user-to-user recommender for user: 567 is 0.7167745509436149
 Similarity with user-to-user recommender for user: 568 is 0.7131965322546365
 Similarity with user-to-user recommender for user: 569 is 0.30483471461368344
 Similarity with user-to-user recommender for user: 570 is 0.8389312821988931
 Similarity with user-to-user recommender for user: 571 is 0.7936237994209768
 Similarity with user-to-user recommender for user: 572 is 0.7564506505936152
 Similarity with user-to-user recommender for user: 573 is 0.8153062106163007
 Similarity with user-to-user recommender for user: 574 is 0.6606157475536805
 Similarity with user-to-user recommender for user: 575 is 0.6745245801075579
 Similarity with user-to-user recommender for user: 576 is 0.6807428131440302
 Similarity with user-to-user recommender for user: 577 is 0.7863294990494115
 Similarity with user-to-user recommender for user: 578 is 0
 Similarity with user-to-user recommender for user: 579 is 0.6648478725690516
 Similarity with user-to-user recommender for user: 580 is 0.7064705840096351
 Similarity with user-to-user recommender for user: 581 is 0.5962398504025658
 Similarity with user-to-user recommender for user: 582 is 0.7550008494117643
 Similarity with user-to-user recommender for user: 583 is 0.28940650680386076
 Similarity with user-to-user recommender for user: 584 is 0.7139138463821123
 Similarity with user-to-user recommender for user: 585 is 0.7813993588402278
 Similarity with user-to-user recommender for user: 586 is 0.7791702058204623
 Similarity with user-to-user recommender for user: 587 is 0.7125722627399589
 Similarity with user-to-user recommender for user: 588 is 0.8807410391140927
 Similarity with user-to-user recommender for user: 589 is 0.8993914388490988
 Similarity with user-to-user recommender for user: 590 is 0.675140891997519
 Similarity with user-to-user recommender for user: 591 is 0.5048477326232101
 Similarity with user-to-user recommender for user: 592 is 0.6538757476001048
 Similarity with user-to-user recommender for user: 593 is 0.7608652877106806
 Similarity with user-to-user recommender for user: 594 is 0.8296899715197348
 Similarity with user-to-user recommender for user: 595 is 0.5906713886032062
 Similarity with user-to-user recommender for user: 596 is 0.8049466025916351
 Similarity with user-to-user recommender for user: 597 is 0.7904490068608854
 Similarity with user-to-user recommender for user: 598 is 0.7362935680010396
 Similarity with user-to-user recommender for user: 599 is 0.8345050731859875
 Similarity with user-to-user recommender for user: 600 is 0.8512944068084035
 Similarity with user-to-user recommender for user: 601 is 0.727611438395745
 Similarity with user-to-user recommender for user: 602 is 0.8692417078316474
 Similarity with user-to-user recommender for user: 603 is 0.7499460199606234
 Similarity with user-to-user recommender for user: 604 is 0.7416952175116965
 Similarity with user-to-user recommender for user: 605 is 0.6608237331500605
 Similarity with user-to-user recommender for user: 606 is 0.7831877776071003
 Similarity with user-to-user recommender for user: 607 is 0.8186819701427355
 Similarity with user-to-user recommender for user: 608 is 0.7331914023535349
 Similarity with user-to-user recommender for user: 609 is 0.7703324735518634
 Similarity with user-to-user recommender for user: 610 is 0.8227840230299567
End the prediction of user based recommender
The execution time: 4110.47948050499 seconds
